id|symbol|date|price|volume
GOOGL_2022-04-20|GOOGL|2022-04-20|128.0399932861328|31696000
MSFT_2022-04-20|MSFT|2022-04-20|283.5779724121094|22906700
TSLA_2022-04-20|TSLA|2022-04-20|325.73333740234375|70711200
META_2022-04-20|META|2022-04-20|200.4199981689453|43036500
AMZN_2022-04-20|AMZN|2022-04-20|153.9980010986328|59630000
META_2022-04-21|META|2022-04-21|188.07000732421875|49954100
AMZN_2022-04-21|AMZN|2022-04-21|148.29600524902344|63970000
NFLX_2022-04-21|NFLX|2022-04-21|218.22000122070312|53501600
TSLA_2022-04-21|TSLA|2022-04-21|336.260009765625|105416400
AAPL_2022-04-21|AAPL|2022-04-21|165.41795349121094|87227800
GOOGL_2022-04-21|GOOGL|2022-04-21|124.81449890136719|36446000
MSFT_2022-04-21|MSFT|2022-04-21|278.0819091796875|29454600
AAPL_2022-04-22|AAPL|2022-04-22|160.81582641601562|84882400
NFLX_2022-04-22|NFLX|2022-04-22|215.52000427246094|37515100
GOOGL_2022-04-22|GOOGL|2022-04-22|119.635498046875|56884000
TSLA_2022-04-22|TSLA|2022-04-22|335.01666259765625|69696600
MSFT_2022-04-22|MSFT|2022-04-22|271.3677673339844|29405800
AMZN_2022-04-22|AMZN|2022-04-22|144.35000610351562|73078000
META_2022-04-22|META|2022-04-22|184.11000061035156|36426800
META_2022-04-04|META|2022-04-04|233.88999938964844|28054800
AMZN_2022-04-18|AMZN|2022-04-18|152.78500366210938|46514000
GOOGL_2022-04-18|GOOGL|2022-04-18|127.67649841308594|20808000
AAPL_2022-04-18|AAPL|2022-04-18|164.07608032226562|69023900
NFLX_2022-04-18|NFLX|2022-04-18|337.8599853515625|5105000
META_2022-04-18|META|2022-04-18|210.77000427246094|16580800
TSLA_2022-04-18|TSLA|2022-04-18|334.7633361816406|51715200
MSFT_2022-04-18|MSFT|2022-04-18|277.7947082519531|20778000
TSLA_2022-04-25|TSLA|2022-04-25|332.67333984375|68341200
MSFT_2022-04-25|MSFT|2022-04-25|277.9928283691406|35678900
META_2022-04-25|META|2022-04-25|186.99000549316406|29281100
AMZN_2022-04-25|AMZN|2022-04-25|146.07400512695312|61874000
NFLX_2022-04-25|NFLX|2022-04-25|209.91000366210938|28152000
AAPL_2022-04-25|AAPL|2022-04-25|161.89927673339844|96046400
GOOGL_2022-04-25|GOOGL|2022-04-25|123.0739974975586|46128000
META_2022-04-26|META|2022-04-26|180.9499969482422|31747400
AMZN_2022-04-26|AMZN|2022-04-26|139.39100646972656|77530000
AAPL_2022-04-26|AAPL|2022-04-26|155.8558807373047|95623200
NFLX_2022-04-26|NFLX|2022-04-26|198.39999389648438|20318100
GOOGL_2022-04-26|GOOGL|2022-04-26|118.6500015258789|73054000
TSLA_2022-04-26|TSLA|2022-04-26|292.1400146484375|136133700
MSFT_2022-04-26|MSFT|2022-04-26|267.5948181152344|46518400
AMZN_2022-04-27|AMZN|2022-04-27|138.16700744628906|71336000
AAPL_2022-04-27|AAPL|2022-04-27|155.6272735595703|88063200
GOOGL_2022-04-27|GOOGL|2022-04-27|114.29450225830078|91820000
META_2022-04-27|META|2022-04-27|174.9499969482422|71062900
TSLA_2022-04-27|TSLA|2022-04-27|293.836669921875|76956300
MSFT_2022-04-27|MSFT|2022-04-27|280.4685363769531|63477700
NFLX_2022-04-27|NFLX|2022-04-27|188.5399932861328|22298400
META_2022-04-28|META|2022-04-28|205.72999572753906|100890600
AMZN_2022-04-28|AMZN|2022-04-28|144.59649658203125|117316000
AAPL_2022-04-28|AAPL|2022-04-28|162.65467834472656|130216800
NFLX_2022-04-28|NFLX|2022-04-28|199.52000427246094|21363200
GOOGL_2022-04-28|GOOGL|2022-04-28|118.52249908447266|48884000
TSLA_2022-04-28|TSLA|2022-04-28|292.5033264160156|124948500
MSFT_2022-04-28|MSFT|2022-04-28|286.8162536621094|33646600
META_2022-04-29|META|2022-04-29|200.47000122070312|49193400
AMZN_2022-04-29|AMZN|2022-04-29|124.28150177001953|272662000
AAPL_2022-04-29|AAPL|2022-04-29|156.7007293701172|131747600
NFLX_2022-04-29|NFLX|2022-04-29|190.36000061035156|16391900
TSLA_2022-04-29|TSLA|2022-04-29|290.2533264160156|88133100
GOOGL_2022-04-29|GOOGL|2022-04-29|114.1094970703125|42676000
MSFT_2022-04-29|MSFT|2022-04-29|274.8238830566406|37073900
META_2022-05-02|META|2022-05-02|211.1300048828125|49915300
AMZN_2022-05-02|AMZN|2022-05-02|124.5|148788000
MSFT_2022-05-02|MSFT|2022-05-02|281.7063903808594|35151100
GOOGL_2022-05-02|GOOGL|2022-05-02|116.58300018310547|35534000
NFLX_2022-05-02|NFLX|2022-05-02|199.4600067138672|14591600
AAPL_2022-05-02|AAPL|2022-05-02|157.00889587402344|123055300
TSLA_2022-05-02|TSLA|2022-05-02|300.9800109863281|75781500
AMZN_2022-05-03|AMZN|2022-05-03|124.25350189208984|79134000
AAPL_2022-05-03|AAPL|2022-05-03|158.5197296142578|88966500
NFLX_2022-05-03|NFLX|2022-05-03|199.8699951171875|11839400
GOOGL_2022-05-03|GOOGL|2022-05-03|117.33399963378906|24968000
TSLA_2022-05-03|TSLA|2022-05-03|303.0833435058594|63709500
MSFT_2022-05-03|MSFT|2022-05-03|279.0425109863281|25978600
META_2022-05-03|META|2022-05-03|212.02999877929688|41556300
META_2022-05-04|META|2022-05-04|223.41000366210938|41375900
AAPL_2022-05-04|AAPL|2022-05-04|165.02035522460938|108256500
AMZN_2022-05-04|AMZN|2022-05-04|125.92849731445312|110746000
NFLX_2022-05-04|NFLX|2022-05-04|204.00999450683594|12218800
GOOGL_2022-05-04|GOOGL|2022-05-04|122.26100158691406|49916000
MSFT_2022-05-04|MSFT|2022-05-04|287.1628723144531|33599300
TSLA_2022-05-04|TSLA|2022-05-04|317.5400085449219|81643800
MSFT_2022-05-05|MSFT|2022-05-05|274.6555480957031|43260400
META_2022-05-05|META|2022-05-05|208.27999877929688|41129200
GOOGL_2022-05-05|GOOGL|2022-05-05|116.50550079345703|45840000
NFLX_2022-05-05|NFLX|2022-05-05|188.32000732421875|13971300
AMZN_2022-05-05|AMZN|2022-05-05|116.40699768066406|144392000
AAPL_2022-05-05|AAPL|2022-05-05|155.82606506347656|130525300
TSLA_2022-05-05|TSLA|2022-05-05|291.09332275390625|92519100
AMZN_2022-05-06|AMZN|2022-05-06|114.77249908447266|124260000
META_2022-05-06|META|2022-05-06|203.77000427246094|34747200
NFLX_2022-05-06|NFLX|2022-05-06|180.97000122070312|17185500
AAPL_2022-05-06|AAPL|2022-05-06|156.56268310546875|116124600
MSFT_2022-05-06|MSFT|2022-05-06|272.0610046386719|37780300
GOOGL_2022-05-06|GOOGL|2022-05-06|115.74649810791016|39710000
TSLA_2022-05-06|TSLA|2022-05-06|288.54998779296875|72903000
AMZN_2022-05-09|AMZN|2022-05-09|108.78900146484375|128124000
AAPL_2022-05-09|AAPL|2022-05-09|151.36648559570312|131577900
NFLX_2022-05-09|NFLX|2022-05-09|173.10000610351562|14031300
GOOGL_2022-05-09|GOOGL|2022-05-09|112.51100158691406|40802000
TSLA_2022-05-09|TSLA|2022-05-09|262.3699951171875|90810300
MSFT_2022-05-09|MSFT|2022-05-09|262.0095520019531|47726000
META_2022-05-09|META|2022-05-09|196.2100067138672|36303200
META_2022-05-10|META|2022-05-10|197.64999389648438|34452500
NFLX_2022-05-10|NFLX|2022-05-10|177.66000366210938|13883900
TSLA_2022-05-10|TSLA|2022-05-10|266.67999267578125|84401700
GOOGL_2022-05-10|GOOGL|2022-05-10|114.3949966430664|39900000
AAPL_2022-05-10|AAPL|2022-05-10|153.8052978515625|115366700
MSFT_2022-05-10|MSFT|2022-05-10|266.8818359375|39336400
AMZN_2022-05-10|AMZN|2022-05-10|108.85900115966797|105434000
META_2022-05-11|META|2022-05-11|188.74000549316406|31153400
GOOGL_2022-05-11|GOOGL|2022-05-11|113.60250091552734|37534000
MSFT_2022-05-11|MSFT|2022-05-11|258.01873779296875|48975900
AAPL_2022-05-11|AAPL|2022-05-11|145.83184814453125|142689800
AMZN_2022-05-11|AMZN|2022-05-11|105.37200164794922|109704000
NFLX_2022-05-11|NFLX|2022-05-11|166.3699951171875|12665500
TSLA_2022-05-11|TSLA|2022-05-11|244.6666717529297|97224600
META_2022-05-12|META|2022-05-12|191.24000549316406|38262200
AMZN_2022-05-12|AMZN|2022-05-12|106.93049621582031|132026000
GOOGL_2022-05-12|GOOGL|2022-05-12|112.84400177001953|53836000
NFLX_2022-05-12|NFLX|2022-05-12|174.30999755859375|17662100
TSLA_2022-05-12|TSLA|2022-05-12|242.6666717529297|140313000
MSFT_2022-05-12|MSFT|2022-05-12|252.8692626953125|51033800
AAPL_2022-05-12|AAPL|2022-05-12|141.90980529785156|182602000
AAPL_2022-05-13|AAPL|2022-05-13|146.43905639648438|113990900
AMZN_2022-05-13|AMZN|2022-05-13|113.05500030517578|93684000
META_2022-05-13|META|2022-05-13|198.6199951171875|24549800
TSLA_2022-05-13|TSLA|2022-05-13|256.5299987792969|92150700
GOOGL_2022-05-13|GOOGL|2022-05-13|116.05049896240234|35038000
MSFT_2022-05-13|MSFT|2022-05-13|258.5832214355469|34925100
NFLX_2022-05-13|NFLX|2022-05-13|187.63999938964844|13136300
AMZN_2022-05-16|AMZN|2022-05-16|110.81050109863281|74566000
META_2022-05-16|META|2022-05-16|200.0399932861328|27112600
NFLX_2022-05-16|NFLX|2022-05-16|186.50999450683594|16145000
AAPL_2022-05-16|AAPL|2022-05-16|144.876220703125|86643800
GOOGL_2022-05-16|GOOGL|2022-05-16|114.44499969482422|25990000
TSLA_2022-05-16|TSLA|2022-05-16|241.4566650390625|86098500
MSFT_2022-05-16|MSFT|2022-05-16|258.95953369140625|32550900
META_2022-05-17|META|2022-05-17|202.6199951171875|24872700
